,alti,drct,dwpf,feel,mslp,relh,sknt,tmpf,valid,vsby,skyc1_CLR,skyc1_FEW,skyc1_OVC,skyc1_SCT,skyc1_VV 
5590,30.199996148304542,247.99768898272444,68.51999600564916,78.1,1020.250012479943,85.28406924492505,3.8000970056634182,78.1,18-07-2021 01:15,10.0,0,1,0,0,0
5591,30.20199717542333,194.001198305254,68.27988416382546,69.8,1020.550012479943,87.14009486583261,3.000199717542333,69.8,18-07-2021 02:15,10.0,0,0,0,1,0
5592,30.203997489265177,159.99144067675715,68.87996547739625,69.8,1020.850008914245,92.30702192613305,2.6000085593232427,69.8,18-07-2021 03:15,10.0,0,0,0,1,0
5593,30.18999614830454,106.0196293813036,68.87996547739625,70.2,1020.000014262792,93.147266437467,1.4002624859127806,70.2,18-07-2021 04:15,10.0,1,0,0,0,0
5594,30.177997688982725,0.0,68.98001683333571,69.6,1019.900010697094,94.91145651150516,0.0,69.6,18-07-2021 05:15,10.0,1,0,0,0,0
5595,30.173996918643635,0.0,69.08006676272129,69.4,1019.550012479943,96.34562390333672,0.0,69.4,18-07-2021 06:15,10.0,1,0,0,0,0
5596,30.169997432203026,0.0,69.22010014408194,69.1,1019.5500089142448,96.55559865333316,0.0,69.1,18-07-2021 07:15,10.0,1,0,0,0,0
5597,30.175997945762425,0.0,69.22010014408195,69.1,1019.800010697094,96.82756373129432,0.0,69.1,18-07-2021 08:15,9.400077033909186,1,0,0,0,0
5598,30.187996975705783,12.002596328050329,69.08006676272129,68.9,1020.150008914245,96.25947460020828,1.2002311017275566,68.9,18-07-2021 09:15,10.0,0,0,0,1,0
5599,30.19999743220303,12.002596328050329,68.57992553388779,69.1,1020.6000106970938,94.28309562190616,1.2002311017275566,69.1,18-07-2021 10:15,10.0,0,0,0,1,0
5600,30.215997945762417,0.0,69.25997945762421,69.3,1021.250012479943,95.55536241601165,0.0,69.3,18-07-2021 11:15,10.0,0,0,0,1,0
5601,30.227996975705786,0.0,69.65990099716116,70.2,1021.5500089142448,94.67319191429264,0.0,70.2,18-07-2021 12:15,10.0,0,0,0,0,0
5602,30.23799640508424,76.01463644274526,70.19975320617984,71.8,1021.650008914245,92.01495841595457,1.6003081356367423,71.8,18-07-2021 13:15,10.0,0,0,0,1,0
5603,30.227996975705786,148.01138389991297,70.579809983024,72.9,1021.500010697094,87.19118189988446,3.0001141243099045,72.9,18-07-2021 14:15,10.0,0,0,1,0,0
